condition2,trialNo,target,condition1,mRating_irrational,mRating_improbable,mRating_immoral,mRating_abnormal,mRating_goodness,poss_resp_sp,poss_RT_sp,poss_resp_rf,poss_RT_rf,could_resp_sp,could_RT_sp,could_resp_rf,could_RT_rf,may_resp_sp,may_RT_sp,may_resp_rf,may_RT_rf,might_resp_sp,might_RT_sp,might_resp_rf,might_RT_rf,ought_resp_sp,ought_RT_sp,ought_resp_rf,ought_RT_rf,should_resp_sp,should_RT_sp,should_resp_rf,should_RT_rf
25,479,Pull the allergy out of him,impossible,1.1428571428571428,1.0476190476190477,3.0,1.032258064516129,,0.1276595744680851,986.5957446808511,0.07142857142857142,1836.2857142857142,0.10638297872340426,1113.7446808510638,0.1,2563.7,0.1590909090909091,1047.25,0.0,2096.3333333333335,0.02040816326530612,1049.9795918367347,0.0,2060.0,0.06818181818181818,977.3409090909091,0.07692307692307693,2019.4615384615386,0.09302325581395349,1013.8139534883721,0.07692307692307693,2060.923076923077
25,480,Convince him to not have a reaction,impossible,1.0416666666666667,1.1363636363636365,1.64,1.1818181818181819,,0.36363636363636365,1130.7954545454545,0.06060606060606061,2246.151515151515,0.2727272727272727,1206.5227272727273,0.09090909090909091,2385.6363636363635,0.21428571428571427,1152.0238095238096,0.0,2249.3809523809523,0.1111111111111111,1190.0222222222221,0.05555555555555555,1881.8333333333333,0.06666666666666667,1104.8222222222223,0.047619047619047616,1875.904761904762,0.125,1182.35,0.0,2104.1923076923076
25,481,Lie that the cake is nut-free,immoral,1.12,1.7391304347826086,1.054054054054054,1.5454545454545454,,0.5116279069767442,1075.093023255814,0.7037037037037037,2031.3703703703704,0.3953488372093023,1188.6279069767443,0.7058823529411765,2334.764705882353,0.23255813953488372,1069.6511627906978,0.38095238095238093,1914.7142857142858,0.24444444444444444,1103.5777777777778,0.0,2156.2727272727275,0.06666666666666667,1030.0222222222221,0.0,2030.6363636363637,0.09090909090909091,1004.5681818181819,0.0,1995.5384615384614
25,482,Kick the child out of the party,immoral,1.28,1.391304347826087,1.2777777777777777,1.2727272727272727,,0.5434782608695652,994.804347826087,0.55,2365.7,0.2978723404255319,1071.2553191489362,0.47058823529411764,3311.9411764705883,0.2558139534883721,989.8139534883721,0.375,1984.9375,0.08888888888888889,1027.2666666666667,0.2,2048.0,0.06382978723404255,897.4042553191489,0.1,2127.0,0.08695652173913043,961.2391304347826,0.0,2024.5
25,483,Reprimand him for inconveniencing everyone,immoral,1.16,1.434782608695652,1.2162162162162162,1.2424242424242424,,0.2857142857142857,1152.1190476190477,0.5833333333333334,2634.1111111111113,0.07317073170731707,1193.6341463414635,0.4,2490.0,0.14634146341463414,1155.560975609756,0.3181818181818182,2539.9545454545455,0.125,1208.7,0.058823529411764705,1936.5882352941176,0.045454545454545456,1115.5454545454545,0.0,2331.4736842105262,0.045454545454545456,1092.8181818181818,0.0,2429.695652173913
25,484,Blame the child's parents for genetics,immoral,1.16,1.3043478260869565,1.1944444444444444,1.25,,0.2553191489361702,1067.0425531914893,0.5483870967741935,2730.7741935483873,0.2553191489361702,1151.2553191489362,0.3684210526315789,3405.4736842105262,0.21951219512195122,1120.439024390244,0.23529411764705882,2503.294117647059,0.06976744186046512,1092.2093023255813,0.1,1951.2,0.043478260869565216,997.9565217391304,0.0,2214.25,0.06521739130434782,1000.5217391304348,0.0,2364.8
25,485,Discover a nut-free cake in the house,improbable,3.0,2.0434782608695654,4.2,2.1515151515151514,,0.475,1114.225,0.47058823529411764,2595.5,0.5,1166.925,0.7647058823529411,2478.3529411764707,0.55,1162.6,0.4666666666666667,2387.0,0.47619047619047616,1193.2619047619048,0.3,2169.2,0.6153846153846154,1181.5641025641025,0.2916666666666667,2037.3333333333333,0.575,1161.0,0.7666666666666667,2420.0333333333333
25,486,Invent an anti-allergy remedy,improbable,1.1818181818181819,1.0454545454545454,4.222222222222222,1.121212121212121,,0.13953488372093023,958.0930232558139,0.16666666666666666,2592.3333333333335,0.0625,1108.4166666666667,0.06666666666666667,2454.0,0.13953488372093023,1097.8139534883721,0.2857142857142857,3458.9285714285716,0.10416666666666667,1089.8958333333333,0.0,1917.2222222222222,0.06382978723404255,1006.0851063829788,0.0,2257.8571428571427,0.13953488372093023,1020.7674418604652,0.3,2326.2
25,487,Learn that the child was lying,improbable,2.0416666666666665,1.565217391304348,3.0357142857142856,1.8,,0.4772727272727273,1055.909090909091,0.5483870967741935,2988.967741935484,0.3695652173913043,1172.6304347826087,0.42105263157894735,2605.8947368421054,0.17073170731707318,1138.7317073170732,0.5,2462.222222222222,0.21739130434782608,1142.4130434782608,0.23529411764705882,2287.470588235294,0.0425531914893617,1030.936170212766,0.0,2273.8,0.11904761904761904,1058.357142857143,0.42857142857142855,2897.095238095238
25,488,Learn that the child doesn't want cake,improbable,3.652173913043478,2.5652173913043477,3.769230769230769,2.9696969696969697,,0.5714285714285714,1171.142857142857,0.6857142857142857,2471.2285714285713,0.5142857142857142,1222.7142857142858,0.5555555555555556,2821.740740740741,0.4722222222222222,1187.4444444444443,0.45714285714285713,2563.9142857142856,0.23076923076923078,1198.5384615384614,0.37037037037037035,2155.1481481481483,0.11627906976744186,1189.1162790697674,0.16666666666666666,2133.1666666666665,0.19047619047619047,1174.047619047619,0.4838709677419355,2529.7419354838707
25,489,Hide the forks from everyone,irrational,1.08,1.3043478260869565,1.7575757575757576,1.2121212121212122,,0.43478260869565216,1031.108695652174,0.625,2481.0833333333335,0.3617021276595745,1116.0212765957447,0.5882352941176471,5698.470588235294,0.22727272727272727,1053.090909090909,0.26666666666666666,4380.6,0.14893617021276595,1079.3829787234042,0.0,2065.3636363636365,0.020833333333333332,980.0,0.0,2021.0,0.11363636363636363,996.6136363636364,0.0,2413.5789473684213
25,490,Postpone the party for a month,irrational,1.6,1.391304347826087,2.914285714285714,1.6666666666666667,,0.6363636363636364,1046.6818181818182,0.4583333333333333,2908.125,0.6363636363636364,1111.4772727272727,0.6666666666666666,2967.9333333333334,0.5,1111.2727272727273,0.3333333333333333,2264.25,0.2826086956521739,1096.4782608695652,0.30434782608695654,2414.217391304348,0.16666666666666666,1096.6041666666667,0.0,1939.2727272727273,0.4186046511627907,1066.3488372093022,0.3333333333333333,2169.722222222222
